Symbol,Name,Market Cap,Country,Sector,Industry
ATRC,AtriCure Inc. Common Stock,3658570263.00,United States,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation Common Stock,1107909265.00,United States,Health Care,Medical/Dental Instruments
ATRO,Astronics Corporation Common Stock,542734996.00,United States,Capital Goods,Military/Government/Technical
ATRS,Antares Pharma Inc. Common Stock,732584474.00,United States,Health Care,Medical/Dental Instruments
ATSG,Air Transport Services Group Inc,1720025285.00,United States,,
ATVC,Tribe Capital Growth Corp I Class A common stock,345690000.00,United States,,
ATVI,Activision Blizzard Inc. Common Stock,71687566185.00,United States,Technology,Computer Software: Prepackaged Software
ATXI,Avenue Therapeutics Inc. Common Stock,43042535.00,United States,Consumer Durables,Specialty Chemicals
ATY,AcuityAds Holdings Inc. Common Shares,638607446.00,Canada,,
AUB,Atlantic Union Bankshares Corporation Common Stock,2941558793.00,United States,Finance,Major Banks
AUBN,Auburn National Bancorporation Inc. Common Stock,127638808.00,United States,Finance,Major Banks
AUDC,AudioCodes Ltd. Common Stock,1147306688.00,Israel,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,1832636906.00,Canada,,
AURC,Aurora Acquisition Corp. Class A Ordinary Shares,348952861.00,United Kingdom,Finance,Business Services
AUTL,Autolus Therapeutics plc American Depositary Share,490081710.00,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUTO,AutoWeb Inc. Common Stock,41205565.00,United States,Miscellaneous,Business Services
AUUD,Auddia Inc. Common Stock,46296499.00,United States,Technology,Computer Software: Prepackaged Software
AUVI,Applied UV Inc. Common Stock,100984665.00,United States,,
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,2327835286.00,United States,Health Care,Medical/Nursing Services
AVAV,AeroVironment Inc. Common Stock,2754142491.00,United States,Capital Goods,Aerospace
AVCO,Avalon GloboCare Corp. Common Stock,86114075.00,United States,Health Care,Hospital/Nursing Management
AVCT,American Virtual Cloud Technologies Inc. Common Stock ,122723938.00,United States,Technology,EDP Services
AVDL,Avadel Pharmaceuticals plc American Depositary Shares,424034745.00,France,Health Care,Major Pharmaceuticals
AVEO,AVEO Pharmaceuticals Inc. Common Stock,240525425.00,United States,Health Care,Major Pharmaceuticals
AVGO,Broadcom Inc. Common Stock,189622430832.00,United States,Technology,Semiconductors
AVGR,Avinger Inc. Common Stock,111561257.00,United States,Health Care,Medical/Dental Instruments
AVID,Avid Technology Inc. Common Stock,1725038910.00,United States,Technology,Computer Software: Prepackaged Software
AVIR,Atea Pharmaceuticals Inc. Common Stock,1969966470.00,United States,Consumer Durables,Specialty Chemicals
AVNW,Aviat Networks Inc. Common Stock,378689460.00,United States,Capital Goods,Telecommunications Equipment
AVO,Mission Produce Inc. Common Stock,1504683224.00,United States,Consumer Non-Durables,Farming/Seeds/Milling
AVRO,AVROBIO Inc. Common Stock,413066947.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVT,Avnet Inc. Common Stock,4013912657.00,United States,Technology,Electronic Components
AVXL,Anavex Life Sciences Corp. Common Stock,1733463270.00,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AWH,Aspira Women's Health Inc. Common Stock,653767262.00,United States,Health Care,Medical/Dental Instruments
AWRE,Aware Inc. Common Stock,81248212.00,United States,Technology,EDP Services
AXAS,Abraxas Petroleum Corporation Common Stock,27792303.00,United States,Energy,Oil & Gas Production
AXDX,Accelerate Diagnostics Inc. Common Stock,563436314.00,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AXGN,Axogen Inc. Common Stock,905352180.00,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXLA,Axcella Health Inc. Common Stock,149796644.00,United States,Health Care,Major Pharmaceuticals
